data,ipca_var,ipca_acum,ipca_acum_pct,renda_nominal,preco_idx,renda_real,idx_nominal_100,idx_real_100,idx_ipca_100,variacao_real_acum,periodo_tipo,var_real_mensal
2012-01-01,0.5600,1.0056,0.5600,,1.0056,,,,100.0000,,perda,
2012-02-01,0.4500,1.0101,1.0125,,1.0101,,,,100.4500,,perda,
2012-03-01,0.2100,1.0122,1.2246,,1.0122,,,,100.6609,,perda,
2012-04-01,0.6400,1.0187,1.8725,,1.0187,,,,101.3052,,perda,
2012-05-01,0.3600,1.0224,2.2392,,1.0224,,,,101.6699,,perda,
2012-06-01,0.0800,1.0232,2.3210,,1.0232,,,,101.7512,,perda,
2012-07-01,0.4300,1.0276,2.7610,1404.0000,1.0276,1366.2771,,,102.1887,,perda,
2012-08-01,0.4100,1.0318,3.1823,1419.8822,1.0318,1376.0906,,,102.6077,,perda,0.7183
2012-09-01,0.5700,1.0377,3.7705,1435.7644,1.0377,1383.5965,,,103.1926,,perda,0.5454
2012-10-01,0.5900,1.0438,4.3827,1451.1342,1.0438,1390.2057,,,103.8014,,perda,0.4777
2012-11-01,0.6000,1.0501,5.0090,1467.0164,1.0501,1397.0388,,,104.4242,,perda,0.4915
2012-12-01,0.7900,1.0584,5.8386,1482.3863,1.0584,1400.6107,,,105.2492,,perda,0.2557
2013-01-01,0.8600,1.0675,6.7488,1498.2685,1.0675,1403.5462,,,106.1543,,perda,0.2096
2013-02-01,0.6000,1.0739,7.3893,1514.1507,1.0739,1409.9645,,,106.7912,,perda,0.4573
2013-03-01,0.4700,1.0789,7.8940,1528.4959,1.0789,1416.6644,,,107.2932,,perda,0.4752
2013-04-01,0.5500,1.0849,8.4874,1544.3781,1.0849,1423.5550,,,107.8833,,perda,0.4864
2013-05-01,0.3700,1.0889,8.8888,1559.7479,1.0889,1432.4224,,,108.2824,,perda,0.6229
2013-06-01,0.2600,1.0917,9.1719,1575.6301,1.0917,1443.2557,,,108.5640,,perda,0.7563
2013-07-01,0.0300,1.0920,9.2047,1591.0000,1.0920,1456.8972,,,108.5965,6.6326,ganho,0.9452
2013-08-01,0.2400,1.0947,9.4668,1609.0904,1.0947,1469.9349,,,108.8572,6.8196,ganho,0.8949
2013-09-01,0.3500,1.0985,9.8499,1627.1808,1.0985,1481.2764,,,109.2382,7.0599,ganho,0.7716
2013-10-01,0.5700,1.1048,10.4761,1644.6877,1.1048,1488.7277,,,109.8608,7.0869,ganho,0.5030
2013-11-01,0.5400,1.1107,11.0726,1662.7781,1.1107,1497.0188,,,110.4541,7.1566,ganho,0.5569
2013-12-01,0.9200,1.1209,12.0945,1680.2849,1.1209,1498.9897,,,111.4703,7.0240,ganho,0.1317
2014-01-01,0.5500,1.1271,12.7110,1698.3753,1.1271,1506.8406,,,112.0833,7.3595,ganho,0.5237
2014-02-01,0.6900,1.1349,13.4887,1716.4658,1.1349,1512.4549,,,112.8567,7.2690,ganho,0.3726
2014-03-01,0.9200,1.1453,14.5328,1732.8055,1.1453,1512.9336,,,113.8950,6.7955,ganho,0.0316
2014-04-01,0.6700,1.1530,15.3002,1750.8959,1.1530,1518.5543,,,114.6581,6.6734,ganho,0.3715
2014-05-01,0.4600,1.1583,15.8306,1768.4027,1.1583,1526.7151,,,115.1855,6.5827,ganho,0.5374
2014-06-01,0.4000,1.1629,16.2939,1786.4932,1.1629,1536.1883,,,115.6463,6.4391,ganho,0.6205
2014-07-01,0.0100,1.1631,16.3055,1804.0000,1.1631,1551.0872,,,115.6578,6.4651,ganho,0.9699
2014-08-01,0.2500,1.1660,16.5963,1818.8630,1.1660,1559.9666,,,115.9470,6.1249,ganho,0.5725
2014-09-01,0.5700,1.1726,17.2609,1833.7260,1.1726,1563.8003,,,116.6079,5.5711,ganho,0.2458
2014-10-01,0.4200,1.1775,17.7534,1848.1096,1.1775,1569.4748,,,117.0976,5.4239,ganho,0.3629
2014-11-01,0.5100,1.1835,18.3539,1862.9726,1.1835,1574.0692,,,117.6948,5.1469,ganho,0.2927
2014-12-01,0.7800,1.1928,19.2771,1877.3562,1.1928,1573.9454,,,118.6128,5.0004,ganho,-0.0079
2015-01-01,1.2400,1.2076,20.7561,1892.2192,1.2076,1566.9759,,,120.0836,3.9908,ganho,-0.4428
2015-02-01,1.2200,1.2223,22.2293,1907.0822,1.2223,1560.2491,,,121.5487,3.1600,ganho,-0.4293
2015-03-01,1.3200,1.2384,23.8428,1920.5068,1.2384,1550.7622,,,123.1531,2.5003,ganho,-0.6080
2015-04-01,0.7100,1.2472,24.7221,1935.3699,1.2472,1551.7463,,,124.0275,2.1858,ganho,0.0635
2015-05-01,0.7400,1.2564,25.6450,1949.7534,1.2564,1551.7955,,,124.9453,1.6428,ganho,0.0032
2015-06-01,0.7900,1.2664,26.6376,1964.6164,1.2664,1551.3691,,,125.9324,0.9882,ganho,-0.0275
2015-07-01,0.6200,1.2742,27.4227,1979.0000,1.2742,1553.0979,,,126.7131,0.1296,ganho,0.1114
2015-08-01,0.2200,1.2770,27.7031,1983.6585,1.2770,1553.3365,,,126.9919,-0.4250,perda,0.0154
2015-09-01,0.5400,1.2839,28.3927,1988.3169,1.2839,1548.6219,,,127.6777,-0.9706,perda,-0.3035
2015-10-01,0.8200,1.2945,29.4455,1992.8251,1.2945,1539.5091,,,128.7246,-1.9093,perda,-0.5884
2015-11-01,1.0100,1.3075,30.7529,1997.4836,1.3075,1527.6784,,,130.0248,-2.9472,perda,-0.7685
2015-12-01,0.9600,1.3201,32.0081,2001.9918,1.3201,1516.5672,,,131.2730,-3.6455,perda,-0.7273
2016-01-01,1.2700,1.3368,33.6846,2006.6503,1.3368,1501.0330,,,132.9402,-4.2083,perda,-1.0243
2016-02-01,0.9000,1.3489,34.8878,2011.3087,1.3489,1491.0978,,,134.1366,-4.4321,perda,-0.6619
2016-03-01,0.4300,1.3547,35.4678,2015.6667,1.3547,1487.9305,,,134.7134,-4.0517,perda,-0.2124
2016-04-01,0.6100,1.3629,36.2942,2020.3251,1.3629,1482.3271,,,135.5352,-4.4736,perda,-0.3766
2016-05-01,0.7800,1.3736,37.3572,2024.8333,1.3736,1474.1365,,,136.5923,-5.0045,perda,-0.5525
2016-06-01,0.3500,1.3784,37.8380,2029.4918,1.3784,1472.3747,,,137.0704,-5.0919,perda,-0.1195
2016-07-01,0.5200,1.3855,38.5548,2034.0000,1.3855,1468.0117,,,137.7832,-5.4785,perda,-0.2963
2016-08-01,0.4400,1.3916,39.1644,2039.1808,1.3916,1465.3035,,,138.3894,-5.6673,perda,-0.1845
2016-09-01,0.0800,1.3928,39.2757,2044.3616,1.3928,1467.8521,,,138.5001,-5.2156,perda,0.1739
2016-10-01,0.2600,1.3964,39.6378,2049.3753,1.3964,1467.6361,,,138.8602,-4.6686,perda,-0.0147
2016-11-01,0.1800,1.3989,39.8892,2054.5562,1.3989,1468.7026,,,139.1102,-3.8605,perda,0.0727
2016-12-01,0.3000,1.4031,40.3089,2059.5699,1.4031,1467.8830,,,139.5275,-3.2102,perda,-0.0558
2017-01-01,0.3800,1.4084,40.8420,2064.7507,1.4084,1466.0046,,,140.0577,-2.3336,perda,-0.1280
2017-02-01,0.3300,1.4131,41.3068,2069.9315,1.4131,1464.8491,,,140.5199,-1.7604,perda,-0.0788
2017-03-01,0.2500,1.4166,41.6601,2074.6110,1.4166,1464.4994,,,140.8712,-1.5747,perda,-0.0239
2017-04-01,0.1400,1.4186,41.8584,2079.7918,1.4186,1466.1040,,,141.0684,-1.0944,perda,0.1096
2017-05-01,0.3100,1.4230,42.2982,2084.8055,1.4230,1465.0965,,,141.5057,-0.6132,perda,-0.0687
2017-06-01,-0.2300,1.4197,41.9709,2089.9863,1.4197,1472.1232,,,141.1803,-0.0171,perda,0.4796
2017-07-01,0.2400,1.4231,42.3116,2095.0000,1.4231,1472.1217,,,141.5191,0.2800,ganho,-0.0001
2017-08-01,0.1900,1.4258,42.5820,2105.7014,1.4258,1476.8353,,,141.7880,0.7870,ganho,0.3202
2017-09-01,0.1600,1.4281,42.8101,2116.4027,1.4281,1481.9696,,,142.0148,0.9618,ganho,0.3477
2017-10-01,0.4200,1.4341,43.4099,2126.7589,1.4341,1482.9927,,,142.6113,1.0464,ganho,0.0690
2017-11-01,0.2800,1.4381,43.8115,2137.4603,1.4381,1486.2932,,,143.0106,1.1977,ganho,0.2226
2017-12-01,0.4400,1.4444,44.4443,2147.8164,1.4444,1486.9518,,,143.6399,1.2991,ganho,0.0443
2018-01-01,0.2900,1.4486,44.8631,2158.5178,1.4486,1490.0394,,,144.0564,1.6395,ganho,0.2076
2018-02-01,0.3200,1.4533,45.3267,2169.2192,1.4533,1492.6501,,,144.5174,1.8979,ganho,0.1752
2018-03-01,0.0900,1.4546,45.4575,2178.8849,1.4546,1497.9530,,,144.6475,2.2843,ganho,0.3553
2018-04-01,0.2200,1.4578,45.7775,2189.5863,1.4578,1502.0056,,,144.9657,2.4488,ganho,0.2705
2018-05-01,0.4000,1.4636,46.3606,2199.9425,1.4636,1503.0973,,,145.5456,2.5937,ganho,0.0727
2018-06-01,1.2600,1.4820,48.2048,2210.6438,1.4820,1491.6146,,,147.3794,1.3240,ganho,-0.7639
2018-07-01,0.3300,1.4869,48.6938,2221.0000,1.4869,1493.6732,,,147.8658,1.4640,ganho,0.1380
2018-08-01,-0.0900,1.4856,48.5600,2228.3890,1.4856,1499.9925,,,147.7327,1.5680,ganho,0.4231
2018-09-01,0.4800,1.4927,49.2731,2235.7781,1.4927,1497.7770,,,148.4418,1.0666,ganho,-0.1477
2018-10-01,0.4500,1.4994,49.9448,2242.9288,1.4994,1495.8361,,,149.1098,0.8660,ganho,-0.1296
2018-11-01,-0.2100,1.4963,49.6299,2250.3178,1.4963,1503.9221,,,148.7967,1.1861,ganho,0.5406
2018-12-01,0.1500,1.4985,49.8544,2257.4685,1.4985,1506.4414,,,149.0199,1.3107,ganho,0.1675
2019-01-01,0.3200,1.5033,50.3339,2264.8575,1.5033,1506.5512,,,149.4967,1.1082,ganho,0.0073
2019-02-01,0.4300,1.5098,50.9804,2272.2466,1.5098,1504.9948,,,150.1396,0.8270,ganho,-0.1033
2019-03-01,0.7500,1.5211,52.1127,2278.9205,1.5211,1498.1789,,,151.2656,0.0151,ganho,-0.4529
2019-04-01,0.5700,1.5298,52.9798,2286.3096,1.5298,1494.5178,,,152.1278,-0.4985,perda,-0.2444
2019-05-01,0.1300,1.5318,53.1786,2293.4603,1.5318,1497.2456,,,152.3256,-0.3893,perda,0.1825
2019-06-01,0.0100,1.5319,53.1939,2300.8493,1.5319,1501.9193,,,152.3408,0.6908,ganho,0.3121
2019-07-01,0.1900,1.5349,53.4850,2308.0000,1.5349,1503.7299,,,152.6303,0.6733,ganho,0.1206
2019-08-01,0.1100,1.5365,53.6538,2322.1448,1.5365,1511.2832,,,152.7982,0.7527,ganho,0.5023
2019-09-01,-0.0400,1.5359,53.5924,2336.2896,1.5359,1521.0973,,,152.7371,1.5570,ganho,0.6494
2019-10-01,0.1000,1.5375,53.7460,2349.9781,1.5375,1528.4811,,,152.8898,2.1824,ganho,0.4854
2019-11-01,0.5100,1.5453,54.5301,2364.1230,1.5453,1529.8788,,,153.6695,1.7259,ganho,0.0914
2019-12-01,1.1500,1.5631,56.3072,2377.8115,1.5631,1521.2427,,,155.4367,0.9825,ganho,-0.5645
2020-01-01,0.2100,1.5664,56.6354,2391.9563,1.5664,1527.0852,,,155.7631,1.3630,ganho,0.3841
2020-02-01,0.2500,1.5703,57.0270,2406.1011,1.5703,1532.2849,,,156.1526,1.8133,ganho,0.3405
2020-03-01,0.0700,1.5714,57.1369,2419.3333,1.5714,1539.6338,,,156.2619,2.7670,ganho,0.4796
2020-04-01,-0.3100,1.5665,56.6498,2433.4781,1.5665,1553.4511,,,155.7775,3.9433,ganho,0.8974
2020-05-01,-0.3800,1.5605,56.0545,2447.1667,1.5605,1568.1484,,,155.1855,4.7355,ganho,0.9461
2020-06-01,0.2600,1.5646,56.4603,2461.3115,1.5646,1573.1223,,,155.5890,4.7408,ganho,0.3172
2020-07-01,0.3600,1.5702,57.0235,2475.0000,1.5702,1576.1969,,,156.1491,4.8191,ganho,0.1954
2020-08-01,0.2400,1.5740,57.4004,2466.0822,1.5740,1566.7574,,,156.5239,3.6707,ganho,-0.5989
2020-09-01,0.6400,1.5841,58.4078,2457.1644,1.5841,1551.1642,,,157.5256,1.9767,ganho,-0.9952
2020-10-01,0.8600,1.5977,59.7701,2448.5342,1.5977,1532.5364,,,158.8803,0.2653,ganho,-1.2009
2020-11-01,0.8900,1.6119,61.1920,2439.6164,1.6119,1513.4847,,,160.2944,-1.0716,perda,-1.2431
2020-12-01,1.3500,1.6337,63.3681,2430.9863,1.6337,1488.0422,,,162.4583,-2.1825,perda,-1.6811
2021-01-01,0.2500,1.6378,63.7765,2422.0685,1.6378,1478.8862,,,162.8645,-3.1563,perda,-0.6153
2021-02-01,0.8600,1.6519,65.1850,2413.1507,1.6519,1460.8776,,,164.2651,-4.6602,perda,-1.2177
2021-03-01,0.9300,1.6672,66.7212,2405.0959,1.6672,1442.5853,,,165.7928,-6.3034,perda,-1.2521
2021-04-01,0.3100,1.6724,67.2381,2396.1781,1.6724,1432.7947,,,166.3067,-7.7670,perda,-0.6787
2021-05-01,0.8300,1.6863,68.6261,2387.5479,1.6863,1415.8825,,,167.6871,-9.7099,perda,-1.1804
